country																																																																																																																																
Democratic People's Republic of Korea												19.410	20.150	20.590	21.510	22.260	23.630	24.910	26.750	28.620	30.360	31.180	32.570	33.780	34.610	36.000	35.410	34.110	34.730	34.600	33.220	31.700	27.710	25.490	23.310	21.980	19.330	18.410	17.180	18.410	19.720	20.370	19.570	20.030	20.500	21.340	21.550	18.310	20.170	15.630	14.800	11.110	11.490	8.790	9.610	7.840	
Democratic Republic of the Congo												6.680	6.850	7.090	7.280	7.470	7.590	7.820	8.040	8.390	8.470	8.880	8.890	9.470	9.950	9.950	10.150	10.560	10.950	11.230	11.800	11.810	12.030	12.270	12.310	12.840	13.270	13.510	13.840	13.870	13.910	14.370	14.870	15.430	16.040	16.660	17.290	17.920	18.590	19.140	19.850	21.080	26.150	27.480	28.720	28.890	
Denmark	8.810	9.330	10.670	11.720	12.280	13.430	14.720	14.800	15.590	18.100	19.570	18.510	19.260	18.990	17.610	17.470	19.000	19.490	19.880	20.570	19.140	17.320	17.520	16.540	17.140	19.300	19.580	19.580	18.680	17.520	17.360	19.250	18.420	18.920	19.580	19.400	21.950	20.340	20.010	19.170	18.630	19.210	19.000	20.100	19.440	18.900	20.270	19.780	19.240	18.390	19.480	17.990	17.290	17.150	16.110	16.100	16.540
Dominican Republic												2.340	2.730	2.870	3.020	3.080	3.180	3.260	3.340	3.470	3.430	3.550	3.630	3.860	4.060	3.390	3.510	3.980	3.810	3.760	4.010	4.040	4.490	4.350	4.990	5.240	5.470	6.110	6.400	6.680	7.250	7.060	7.620	6.930	6.550	7.050	7.200	7.440	7.290	7.050	7.410	7.610	7.920	7.760	7.600	8.240	
Ecuador												2.240	2.320	2.350	2.850	3.140	3.490	4.190	4.310	4.560	5.000	5.200	5.600	5.190	5.550	5.620	5.590	5.730	6.000	5.730	6.330	6.650	6.740	6.280	6.720	7.870	8.290	8.610	8.840	7.960	8.820	9.360	9.130	9.270	8.950	9.340	9.380	10.610	9.780	11.640	11.770	12.460	12.300	13.260	14.180	15.060	
Egypt												7.800	8.600	8.010	8.970	9.790	11.410	12.450	12.840	14.120	15.090	17.590	19.260	21.370	23.700	25.660	26.350	28.080	28.750	30.660	32.250	32.270	33.110	34.340	33.030	35.130	37.280	38.830	41.610	42.540	40.590	45.580	47.020	48.810	53.560	61.660	65.130	69.660	72.280	73.950	73.230	76.420	78.690	77.420	80.470	79.390	
El Salvador												1.750	1.870	1.980	2.020	2.260	2.610	2.690	2.850	2.780	2.520	2.720	2.810	2.700	2.760	2.620	2.280	2.540	2.370	2.430	2.470	2.710	2.830	2.980	3.160	3.360	3.210	3.550	3.650	3.790	3.970	4.150	4.230	4.420	4.380	4.510	4.730	4.430	4.490	4.260	4.360	4.420	4.230	3.990	4.070	4.320	
Eritrea																																	0.880	0.920	0.950	1.000	1.050	1.040	0.680	0.700	0.710	0.740	0.750	0.800	0.740	0.760	0.690	0.720	0.670	0.720	0.740	0.760	0.780	0.800	0.820	0.850	
Estonia																															9.780	9.120	6.570	5.440	5.490	5.210	5.720	5.610	5.120	4.810	4.710	4.920	4.710	5.210	5.300	5.210	5.080	5.690	5.490	4.870	5.620	5.630	5.520	6.090	5.990	5.420	5.970
Ethiopia												13.910	14.280	14.720	15.100	15.370	15.640	15.850	16.100	16.370	16.700	17.120	17.560	18.120	18.650	19.250	19.940	20.700	21.370	22.110	22.930	23.720	24.300	25.310	26.300	27.270	28.200	29.010	29.900	30.730	31.690	32.880	33.860	34.930	35.980	36.870	37.980	39.190	40.380	41.500	42.640	43.890	45.330	46.940	48.610	49.990	
