citizen,agedef,age,unit,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,REACH,TOTAL,NR,T,LU	8287 	9001 	10674 	10058 	9168 	9302 	9264 	10442 	10750 	11283 	12644 	13442 
TOTAL,REACH,TOTAL,NR,T,LV	17643 	17019 	15463 	27045 	38208 	39651 	30311 	25163 	22561 	19017 	20119 	20574 
TOTAL,REACH,TOTAL,NR,T,MD	: 	: 	7172 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,MK	1300 	1108 	240 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,MT	: 	3835 	3730 	3719 	3868 	4201 	3806 	4005 	4778 	5108 	7095 	8303 
TOTAL,REACH,TOTAL,NR,T,NL	83399 	91028 	91287 	90067 	92825 b	95970 	104201 	110431 	112625 	112900 	112330 	111477 
TOTAL,REACH,TOTAL,NR,T,NO	21709 	22053 	22122 	12976 b	17072 	25835 	20349 	22693 	26523 	29308 	29173 	34694 
TOTAL,REACH,TOTAL,NR,T,PL	22242 	46936 	35480 	30140 	229320 b	218126 	265798 	275603 	276446 	268299 p	258837 p	236441 ep
TOTAL,REACH,TOTAL,NR,T,PT	6360 	5600 	7890 	20357 	16899 	23760 	43998 	51958 	53786 	49572 	40377 	38273 e
TOTAL,REACH,TOTAL,NR,T,RO	: 	: 	: 	302796 b	246626 	197985 	195551 	170186 	161755 	172871 	194718 	207578 
TOTAL,REACH,TOTAL,NR,T,RU	69798 	54061 	47014 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,SE	38118 	44908 	45418 	45294 	39240 	48853 	51179 	51747 	50715 	51237 	55830 	45878 
TOTAL,REACH,TOTAL,NR,T,SI	8605 	13749 	14943 	12109 b	18788 	15937 	12024 	14378 	13384 	14336 	14913 	15572 
TOTAL,REACH,TOTAL,NR,T,SK	1873 	1735 	1831 	1705 	1979 	1889 	1863 	2003 	2770 	3644 	3870 	3801 
TOTAL,REACH,TOTAL,NR,T,SM	: 	: 	76 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,TJ	: 	8334 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,UK	328408 	369470 	317587 	427207 b	368177 	339306 	350703 	321217 	316934 	319086 	299183 	340440 
TOTAL,REACH,TOTAL,NR,T,UZ	: 	71608 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
