na_item,unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
B1GQ,CP_MEUR,UK	2146649.0 	2245324.0 	1974766.4 	1716766.6 	1841691.9 	1883972.4 	2078292.5 	2063624.8 	2278894.0 	2602139.6 	2395801.0 	2324293.1 
B1GQ,CP_MEUR,XK	: 	: 	3882.8 	4069.6 	4402.0 	4814.5 	5058.8 	5326.6 	5567.5 	5806.9 	5984.6 p	: 
B1GQ,CP_MPPS,AL	16249.4 	17815.1 	19168.3 	19632.6 	21459.2 	22368.2 	23068.9 	22478.1 	23974.2 	24654.7 	24467.9 p	: 
B1GQ,CP_MPPS,AT	257511.1 	269382.8 	271747.6 	259782.3 	268801.5 	281367.3 	295920.4 	298471.5 	307298.7 	325546.4 	324849.8 	: 
B1GQ,CP_MPPS,BA	23084.7 	25400.1 	26791.8 	25667.0 	26501.9 	27550.1 	28067.5 	28664.8 	29341.4 	30776.0 	31504.6 	: 
B1GQ,CP_MPPS,BE	308964.6 	322982.3 	322805.4 	312197.8 	333894.7 	343723.4 	356141.8 	357452.4 	368671.0 	386765.2 	387438.9 	: 
B1GQ,CP_MPPS,BG	71183.2 	79622.1 	84857.1 	80118.8 	84505.7 	86886.6 	89475.5 	88748.4 	93218.9 	98187.7 	100944.3 	: 
B1GQ,CP_MPPS,CH	279431.4 	309662.9 	317858.3 	304993.2 	317719.8 	335310.2 	349553.7 	357134.0 	373586.0 	398063.2 	393673.4 	: 
B1GQ,CP_MPPS,CY	18638.9 	20773.8 	21651.8 	20832.6 	21089.3 	21302.6 	20834.0 	19385.4 	19090.0 	20177.9 	20608.1 p	: 
B1GQ,CP_MPPS,CZ	201515.5 	221797.7 	228548.2 	219294.1 	221734.6 	227985.9 	230692.5 	235427.2 	250274.9 	266525.7 	270227.2 	: 
B1GQ,CP_MPPS,DE	2334900.8 	2471972.8 	2468052.7 	2308128.2 	2451945.8 	2584986.1 	2647387.4 	2679230.6 	2810710.0 	2949101.8 	2966252.8 	: 
B1GQ,CP_MPPS,DK	167860.1 	175443.1 	179236.5 	169503.9 	182520.3 	186570.1 	189297.7 	192703.7 	199235.6 	208895.8 	206689.2 	: 
B1GQ,CP_MPPS,EA	8663734.3 	9210835.2 	9237212.8 	8802050.5 	9114714.6 	9388907.4 	9514568.8 	9567369.8 	9895938.1 	10473328.2 	10549443.9 	: 
B1GQ,CP_MPPS,EA19	8911875.2 	9441709.2 	9447778.3 	8894034.3 	9212524.0 	9471875.2 	9602832.9 	9658900.3 	9956810.7 	10473328.2 	10549443.9 	: 
B1GQ,CP_MPPS,EE	21469.6 	24274.9 	23952.0 	20815.7 	21986.4 	24573.7 	26007.8 	26617.1 	27648.9 	28496.1 	28803.0 	: 
B1GQ,CP_MPPS,EL	260163.0 	266788.0 	270171.1 	256590.4 	239522.3 	218961.9 p	211015.5 p	210185.6 p	215453.6 p	218142.3 p	212267.5 p	: 
B1GQ,CP_MPPS,ES	1132478.7 	1215318.4 	1215462.7 	1142509.2 	1137655.1 	1130617.0 	1130526.2 	1116409.1 	1154783.4 	1221105.3 p	1242034.9 p	: 
B1GQ,CP_MPPS,EU28	12269019.1 	12997544.4 	13071822.2 	12315808.7 	12827959.8 	13200973.3 	13463409.4 	13577230.0 	14044632.1 	14798154.8 	14909071.9 	: 
B1GQ,CP_MPPS,FI	149796.9 	164378.2 	167859.0 	153656.6 	158964.8 	165345.8 	166170.1 	164960.0 	166924.5 	174075.2 	175438.0 	: 
B1GQ,CP_MPPS,FR	1712863.6 	1802915.2 	1788812.8 	1709786.0 	1789038.3 	1846113.3 	1867698.5 	1914154.9 	1959962.2 	2035910.3 p	2035355.7 p	: 
B1GQ,CP_MPPS,HR	62204.1 	68669.0 	70966.0 	65541.1 	64970.5 	66997.6 	68242.1 	68078.6 	68900.0 	72128.9 	72843.2 	: 
B1GQ,CP_MPPS,HU	152545.1 	157751.5 	164067.1 	157472.1 	164769.9 	171797.0 	173112.9 	177756.7 	185607.3 	194343.2 	192855.0 	: 
B1GQ,CP_MPPS,IE	156378.2 	169564.4 	157131.3 	143610.8 	150927.0 	155966.7 	161170.2 	163241.2 	175052.1 	243481.7 	249845.5 	: 
