citizen,agedef,age,unit,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,REACH,TOTAL,NR,T,KG	: 	3420 	3960 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,LI	: 	: 	: 	578 b	584 	591 	650 	671 	696 	615 	657 	607 
TOTAL,REACH,TOTAL,NR,T,LT	6789 	7745 	8609 	9297 	6487 	5213 	15685 	19843 	22011 	24294 	22130 	20162 
TOTAL,REACH,TOTAL,NR,T,LU	14397 	14352 	16675 	17758 	15751 	16962 	20268 	20478 	21098 	22332 	23803 	22888 
TOTAL,REACH,TOTAL,NR,T,LV	6691 	8212 	7517 	4678 	3731 	4011 	10234 	13303 	8299 	10365 	9479 	8345 
TOTAL,REACH,TOTAL,NR,T,MD	: 	: 	2070 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,MK	2671 	2077 	1320 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,MT	2075 	3889 	5292 	6043 	6161 	4275 	5465 	8256 	10897 	14454 	16936 	17051 
TOTAL,REACH,TOTAL,NR,T,NL	92297 	101150 	116819 	143516 	122917 b	126776 	130118 	124566 	129428 	145323 	166872 	189232 
TOTAL,REACH,TOTAL,NR,T,NO	40148 	45776 	61774 	58123 b	55953 	69214 	70337 	69908 	68313 	66903 	60816 	61460 
TOTAL,REACH,TOTAL,NR,T,PL	9364 	10802 	14995 	15275 	189166 b	155131 	157059 	217546 	220311 	222275 p	218147 p	208302 ep
TOTAL,REACH,TOTAL,NR,T,PT	21741 	22741 	29661 	29718 	32307 	27575 	19667 	14606 	17554 	19516 	29896 e	29925 e
TOTAL,REACH,TOTAL,NR,T,RO	: 	: 	: 	138929 b	135844 	149885 	147685 	167266 	153646 	136035 	132795 e	137455 
TOTAL,REACH,TOTAL,NR,T,RU	177230 	186380 	286970 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,SE	65229 	95750 	99485 	101171 	102280 	98801 	96467 	103059 	115845 	126966 	134240 	163005 
TOTAL,REACH,TOTAL,NR,T,SI	15041 	20016 	29193 	30693 b	30296 	15416 	14083 	15022 	13871 	13846 	15420 	16623 
TOTAL,REACH,TOTAL,NR,T,SK	5276 	5589 	8624 	8765 	6346 	5272 	4829 	5419 p	5149 p	5357 p	6997 p	7686 p
TOTAL,REACH,TOTAL,NR,T,SM	: 	: 	429 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,TJ	: 	1042 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,UK	: 	529008 	526714 	590242 b	566514 	590950 	566044 	498040 	526046 	631991 	631452 	588993 
TOTAL,REACH,TOTAL,NR,T,UZ	: 	6418 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
